,link,yt_id,title,transcript,views,time_uploaded,tokens,author,data_import_date
17,https://www.youtube.com/watch?v=RVYOdjTbTjI,x,Elon Musk’s NEW Insane Deal With Amazon Changes Everything,x, 29 444 ,48.18333333333333,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
18,https://www.youtube.com/watch?v=Z_-BoGsyC5I,x,Elon Musk's trial over Tesla tweets starts in San Francisco | USA TODAY,x, 341 ,3.0,x,https://www.youtube.com/@USATODAY,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
19,https://www.youtube.com/watch?v=8pqwoI1eWag,x,Elon Musk Best SAVAGE Moments in 8 Minutes Straight,x, 939 929 ,720.1333333333333,x,https://www.youtube.com/@smartsenseofficial,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
20,https://www.youtube.com/watch?v=KeEmVxMFM4Q,x,Elon Musk's BRUTALLY HONEST New Interview With Ron Baron(MUST WATCH),x, 1 437 514 ,1440.9666666666667,x,https://www.youtube.com/@Infowealth,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
21,https://www.youtube.com/watch?v=A7PWDLH1R08,x,"Elon Musk: ""I OFFICIALLY Bought Facebook""",x, 32 749 ,96.2,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
22,https://www.youtube.com/shorts/6hdCUIQeeWs,x,The ONE question Elon Musk asks when hiring 😳,x, 45 121 ,96.0,x,https://www.youtube.com/@elonmuskempire,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
23,https://www.youtube.com/shorts/eCZL47NgpPQ,x,"Elon Musk zna się na trollowaniu ludzi, zrobił najwolniejszy samochód świata o mocy 782 KM! 🙃",x, 886 300 ,2880.016666666667,x,https://www.youtube.com/@MrSambor,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
24,https://www.youtube.com/watch?v=oVj4kZF-Fgk,x,Elon Musk Is An Idiot (and so are Zuck and SBF),x, 2 184 600 ,720.3166666666667,x,https://www.youtube.com/@TheAdamConover,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
25,https://www.youtube.com/shorts/mS7sdQfyXEU,x,"""Prepare Yourself"" - Elon Musk's TERRIFYING Prediction About Future!",x, 54 473  – ó  ,96.0,x,https://www.youtube.com/@elonmuskempire,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
26,https://www.youtube.com/watch?v=2IyJIZHgRvw,x,Why Elon Musk Started a School at His House,x, 404 524 ,48.1,x,https://www.youtube.com/@Newsthink,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
